node,degree,pagerank,pagerank_norm,kcore,membership
ENSG00000113595,523,0.00064368580813766,0.350240900252093,234,5
ENSG00000074317,276,0.000395089935598589,0.20733644241199,164,3
ENSG00000102409,408,0.000457646301351161,0.243296747951308,234,4
ENSG00000185787,741,0.000875780737499239,0.483659849284083,234,4
ENSG00000173660,526,0.000578894088431107,0.312995609400622,234,4
ENSG00000150768,625,0.000712169298761018,0.389608392554246,234,4
ENSG00000104643,537,0.00065062665271362,0.354230820201082,234,3
ENSG00000112186,275,0.000369190813153667,0.19244842350112,164,3
ENSG00000102471,459,0.000549582760622159,0.296146096308031,234,3
ENSG00000131089,511,0.000659331885869629,0.359234992683212,221,3
ENSG00000128524,671,0.000746717724561132,0.409468432899116,234,4
ENSG00000162817,398,0.000506688614974143,0.2714885484343,204,3
ENSG00000155876,481,0.000532548171990171,0.286353823298346,234,4
ENSG00000214517,471,0.000557780575947136,0.300858581445148,234,3
ENSG00000079246,539,0.000628580447223648,0.341557636970814,234,4
ENSG00000065609,234,0.00036030259084198,0.187339060350232,142,3
ENSG00000171314,538,0.000612174026108556,0.33212646383587,234,4
ENSG00000164091,729,0.000932493534611734,0.516261000064184,234,5
ENSG00000084444,562,0.000671350021184952,0.366143575251152,234,3
ENSG00000058091,422,0.000639256285613278,0.347694604899833,199,3
ENSG00000161057,457,0.000621511439680574,0.337494042993598,226,4
ENSG00000099246,222,0.000371957517643245,0.194038853788834,140,4
ENSG00000105223,380,0.000485155629181376,0.259110387731288,227,3
ENSG00000104381,406,0.000491141985597237,0.262551623538258,211,3
ENSG00000136930,549,0.000634501804990441,0.344961508534321,234,4
ENSG00000153130,416,0.000475203363998032,0.253389363300027,234,4
ENSG00000159082,470,0.000639774343945801,0.347992408899483,207,3
ENSG00000266472,575,0.000645412264822563,0.351233347769506,234,4
ENSG00000042753,577,0.000635805252024955,0.345710790450742,234,3
ENSG00000124702,673,0.000838503312123242,0.462231053187742,234,5
ENSG00000165832,682,0.000764893776782872,0.41991687221507,234,5
ENSG00000069345,754,0.000900761927227213,0.498020197820102,234,4
ENSG00000138138,446,0.000562802515853578,0.303745425833616,230,4
ENSG00000154174,694,0.000823882297918043,0.45382621489849,234,3
ENSG00000082213,591,0.000668095404286402,0.364272670241289,234,4
ENSG00000145864,96,0.000281231737229714,0.141885459890156,57,3
ENSG00000013016,477,0.000648113379018554,0.352786073708999,210,3
ENSG00000138069,614,0.000727660118514049,0.398513235485448,234,4
ENSG00000134001,583,0.000721460557701301,0.394949439885208,234,4
ENSG00000162989,246,0.000435316123233539,0.230460324060682,139,3
ENSG00000152061,404,0.00049235934992267,0.263251421113909,215,3
ENSG00000078140,361,0.000509557982349611,0.273137994118764,205,5
ENSG00000173692,533,0.000607119327809443,0.329220788401268,234,4
ENSG00000164830,595,0.000713874644142456,0.39058870431355,234,3
ENSG00000196419,708,0.000893424997356917,0.493802589640945,234,4
ENSG00000158856,249,0.000364450089955705,0.189723235542626,160,3
ENSG00000198612,584,0.000667756407414946,0.364077799089045,234,4
ENSG00000084764,424,0.000532886789344455,0.286548476286487,228,3
ENSG00000132932,123,0.000212224994754272,0.102217178112007,94,3
ENSG00000108528,553,0.000644174611759747,0.350521887284948,234,4
ENSG00000163399,580,0.000664932020179612,0.362454210079004,234,3
ENSG00000166197,614,0.000708515828919642,0.387508208341272,234,4
ENSG00000220205,447,0.000530040121604118,0.28491207940697,227,3
ENSG00000139505,609,0.000686503848393328,0.37485469921028,234,5
ENSG00000135002,297,0.000361406700753405,0.187973754026666,215,5
ENSG00000086061,13,0.000209486821305047,0.100643148791902,8,5
ENSG00000134440,665,0.000753178584102856,0.413182435149279,234,4
ENSG00000126247,481,0.000584003617293546,0.31593280399057,234,4
ENSG00000136003,682,0.000789542451099905,0.434086075443492,234,5
ENSG00000186106,726,0.000828225039763107,0.456322624684259,234,5
ENSG00000172336,436,0.000476809058623232,0.254312391174655,234,4
ENSG00000198954,576,0.00063869478838341,0.347371830203723,234,4
ENSG00000182220,691,0.000762560954324453,0.418575857477969,234,4
ENSG00000096092,471,0.000520992287319749,0.279710963878265,234,5
ENSG00000136960,35,0.000588019072016846,0.318241073932278,12,8
ENSG00000132305,457,0.000528036987754532,0.283760585000274,234,4
ENSG00000167815,484,0.00056662027270827,0.305940049854976,234,4
ENSG00000165704,608,0.000737153582227084,0.403970519514662,234,3
ENSG00000099341,568,0.000668907445195526,0.36473946908504,234,4
ENSG00000125166,595,0.000678333888642275,0.370158226751285,234,3
ENSG00000119801,500,0.000639643705281787,0.347917311725652,234,5
ENSG00000047249,519,0.000577838714081709,0.312388931189602,234,3
ENSG00000139970,336,0.000429049009955072,0.226857696164513,186,3
ENSG00000156976,528,0.000585197673032368,0.31661920270767,234,5
ENSG00000171132,301,0.000436546126400159,0.231167387029476,163,3
ENSG00000106537,251,0.000332702987498118,0.171473526010612,162,3
ENSG00000106723,782,0.00102243444033717,0.567963211525161,234,5
ENSG00000100138,694,0.000789573983634796,0.434104201809617,234,4
ENSG00000138663,564,0.000637525845805972,0.346699867698598,234,4
ENSG00000072201,277,0.00039906117201047,0.209619293613816,162,3
ENSG00000131966,541,0.000617282569746726,0.335063092073132,234,4
ENSG00000105270,400,0.000462663488451023,0.246180860205728,234,3
ENSG00000168439,11,0.000214995947623646,0.103810050565817,8,5
ENSG00000176903,494,0.000583990003773381,0.315924978306666,234,5
ENSG00000131779,572,0.000621636792448507,0.337566101588768,234,5
ENSG00000115839,584,0.000678676942911003,0.370355430283997,234,3
ENSG00000054793,461,0.000622627784723709,0.338135769992209,225,3
ENSG00000167986,445,0.000594607155711883,0.322028210536876,232,4
ENSG00000154518,240,0.000294560669685054,0.149547549556662,194,4
ENSG00000071553,664,0.000759425417706049,0.416773405345862,234,5
ENSG00000062485,513,0.000604359061077392,0.327634058835693,234,5
ENSG00000014641,196,0.00024278516539673,0.119784584089252,158,3
ENSG00000114784,572,0.000644553355129545,0.350739606571147,234,5
ENSG00000089220,590,0.000720027956427317,0.394125914111153,234,4
ENSG00000140740,418,0.00048039124374011,0.256371597615944,234,4
ENSG00000087191,512,0.000566841974701033,0.306067494461173,234,4
ENSG00000168090,582,0.000755351015301872,0.414431249538349,234,4
ENSG00000197217,88,0.000414293141931259,0.21837533763472,48,3
ENSG00000117152,202,0.000316896027911079,0.162386951214277,139,3
ENSG00000095139,439,0.000561101306268137,0.302767491522009,232,4
ENSG00000163468,26,0.000237680328708611,0.116850086779112,13,5
ENSG00000158864,536,0.000599096129964121,0.324608681504564,234,4
ENSG00000132424,83,0.000891182209914518,0.492513331214274,26,9
ENSG00000115762,461,0.000587419762269153,0.317896562844071,234,4
ENSG00000138434,82,0.000714758393845139,0.391096724703584,30,8
ENSG00000197043,463,0.000536841603568674,0.288821887251834,234,3
ENSG00000126432,477,0.000586114660622503,0.317146329779717,234,4
ENSG00000101365,672,0.000756170386591524,0.414902262225412,234,4
ENSG00000277531,393,0.000504340764381551,0.270138894827436,201,3
ENSG00000033627,363,0.000488471593014673,0.261016557809555,201,3
ENSG00000198825,354,0.000468988911348366,0.24981700718002,210,3
ENSG00000138107,632,0.000746651322637174,0.409430261988047,234,5
ENSG00000183715,264,0.000400546812704373,0.210473308910768,146,3
ENSG00000166908,419,0.000588044949687398,0.318255949619645,207,3
ENSG00000105696,411,0.000519923124562731,0.279096359449905,227,3
ENSG00000144567,606,0.000768184119136588,0.421808313876445,234,5
ENSG00000188191,286,0.000366656794535114,0.190991751863162,192,3
ENSG00000065559,356,0.00049183383175975,0.262949328857147,202,3
ENSG00000213619,371,0.000470939386166153,0.250938230728584,221,4
