membership,mod_size,n_gaba,gaba_genes,odds_ratio,p_value,p_adj,is_enriched,region,condition,cohort
28,11,0,"",0,1,1,FALSE,CRB,AD,Mayo
3,509,9,ENSG00000104327;ENSG00000128683;ENSG00000150995;ENSG00000136750;ENSG00000101438;ENSG00000100362;ENSG00000157103;ENSG00000186297;ENSG00000011677,10.593819279194,2.43598914721469e-06,3.16678589137909e-05,TRUE,CRB,control,Mayo
8,1050,6,ENSG00000151834;ENSG00000163285;ENSG00000163288;ENSG00000187730;ENSG00000132164;ENSG00000196338,2.64647894283408,0.0450667709114806,0.292934010924624,FALSE,CRB,control,Mayo
6,1324,6,ENSG00000113327;ENSG00000145864;ENSG00000179915;ENSG00000131089;ENSG00000166206;ENSG00000022355,2.02716854629307,0.112625765752098,0.488044984925757,FALSE,CRB,control,Mayo
1,1102,2,ENSG00000136928;ENSG00000183044,0.680520331529342,0.792556338380198,1,FALSE,CRB,control,Mayo
10,1617,1,ENSG00000171723,0.207671756434724,0.989527362579712,1,FALSE,CRB,control,Mayo
2,143,0,"",0,1,1,FALSE,CRB,control,Mayo
5,596,0,"",0,1,1,FALSE,CRB,control,Mayo
7,1805,0,"",0,1,1,FALSE,CRB,control,Mayo
9,683,0,"",0,1,1,FALSE,CRB,control,Mayo
11,57,0,"",0,1,1,FALSE,CRB,control,Mayo
12,104,0,"",0,1,1,FALSE,CRB,control,Mayo
13,30,0,"",0,1,1,FALSE,CRB,control,Mayo
15,125,0,"",0,1,1,FALSE,CRB,control,Mayo
